,churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
0,C-816288,A-c37cab,27-10-2024,pricing,4.03,False,False,False,switched to competitor
1,C-5a81e7,A-37f969,25-06-2024,support,96.45,True,False,False,
2,C-a174be,A-b07346,12-11-2024,budget,0.0,False,False,False,missing features
3,C-accb39,A-1e50e0,01-11-2023,budget,54.94,False,False,False,switched to competitor
4,C-92f889,A-956988,30-12-2024,unknown,0.0,False,True,True,too expensive
5,C-a8ac26,A-b20d99,04-03-2024,features,0.0,False,False,False,missing features
6,C-2e2966,A-526d93,10-07-2024,features,34.4,True,False,False,
7,C-ee531b,A-751bd4,22-09-2024,budget,0.0,False,False,False,
8,C-e6a0f0,A-ccabf0,31-10-2024,features,0.0,False,False,False,too expensive
9,C-9328ba,A-0a62f5,10-10-2024,features,0.0,False,False,False,switched to competitor
10,C-c89493,A-3ce5b8,18-09-2024,features,261.49,False,False,False,too expensive
11,C-c54ef0,A-3b5cd1,30-08-2024,unknown,77.87,False,False,False,missing features
12,C-bb3556,A-bcf664,08-08-2024,competitor,0.0,False,False,False,
13,C-875dc5,A-b9f5b1,21-07-2023,features,0.0,False,False,False,switched to competitor
14,C-c8f7b4,A-0dbdc6,14-04-2024,pricing,175.02,False,False,False,too expensive
15,C-865f19,A-c9bb3e,29-07-2024,pricing,0.0,False,False,False,switched to competitor
16,C-102614,A-96e141,22-07-2024,budget,43.53,False,False,False,too expensive
17,C-4ab0e2,A-e7a1e2,08-09-2024,support,0.0,True,False,False,missing features
18,C-742a59,A-812c5b,11-05-2024,support,11.83,False,False,False,missing features
19,C-1f9cf2,A-1e50e0,26-04-2024,pricing,0.0,False,False,False,switched to competitor
20,C-5d5a64,A-c70870,13-12-2024,competitor,0.0,False,False,False,switched to competitor
21,C-f81017,A-271f46,09-08-2024,features,0.0,False,False,True,missing features
22,C-3292be,A-592832,04-10-2024,support,22.66,False,False,False,switched to competitor
23,C-e582ea,A-180abf,04-12-2023,support,0.0,False,False,False,
24,C-100b97,A-0a282f,06-10-2024,features,0.0,False,False,False,switched to competitor
25,C-8843d4,A-e51ec7,29-01-2024,support,0.0,False,False,False,missing features
26,C-8b3048,A-034368,29-08-2024,features,0.0,True,False,False,
27,C-48f456,A-8bde0c,28-11-2024,features,0.0,False,False,False,missing features
28,C-dcdebc,A-08e34e,13-07-2024,competitor,225.18,False,False,False,switched to competitor
29,C-8b229b,A-44dc83,29-11-2024,unknown,98.48,False,True,False,missing features
30,C-7d13bf,A-78f02b,02-12-2024,unknown,0.0,False,False,False,missing features
31,C-78a2bb,A-fce879,03-12-2024,features,0.0,True,False,False,switched to competitor
32,C-935f48,A-34ea2f,05-10-2024,unknown,0.0,True,False,False,
33,C-366a49,A-0baac2,24-12-2024,unknown,68.65,False,False,False,switched to competitor
34,C-62e7a3,A-ac85cd,20-10-2024,features,83.94,False,False,False,
35,C-f3aca2,A-439b2f,18-11-2024,features,0.0,False,False,False,switched to competitor
36,C-3b7c60,A-0f6450,29-12-2024,competitor,0.0,False,False,False,missing features
37,C-736efa,A-b78bf8,06-12-2024,unknown,0.0,False,False,False,
38,C-f6e873,A-3b5cd1,24-07-2024,support,35.3,False,False,False,too expensive
39,C-2e2a3f,A-7df7a7,10-07-2024,budget,0.0,False,False,False,missing features
40,C-762dd4,A-396e5f,30-11-2024,features,0.0,False,False,False,too expensive
41,C-f72425,A-32fb14,19-08-2023,budget,0.0,False,False,False,switched to competitor
42,C-0e273d,A-4e0e85,14-03-2024,pricing,0.0,False,False,False,
43,C-345bbc,A-922109,03-08-2024,support,0.0,True,True,False,too expensive
44,C-555f55,A-794a0b,09-09-2024,budget,0.0,False,True,False,switched to competitor
45,C-a26ce8,A-5a184f,19-03-2024,support,0.0,False,True,False,missing features
46,C-86a446,A-ccb686,22-06-2024,budget,0.0,True,False,False,
47,C-10ce15,A-029f69,14-12-2024,competitor,32.73,False,False,False,too expensive
48,C-2698c2,A-9208f0,18-11-2023,features,0.0,False,False,False,switched to competitor
49,C-48906a,A-5a92e7,11-11-2024,budget,0.0,True,False,False,missing features
50,C-4f7342,A-f45426,13-11-2024,pricing,0.0,False,False,False,switched to competitor
51,C-23b1d0,A-2446e3,29-07-2024,unknown,47.06,False,False,False,
52,C-7f909a,A-d535f6,26-11-2024,features,0.0,False,False,False,switched to competitor
53,C-f208d4,A-6da850,25-10-2024,competitor,0.0,False,False,False,missing features
54,C-acbc2b,A-249769,16-12-2024,budget,0.0,False,False,False,
55,C-859615,A-8e47ca,01-06-2024,competitor,0.0,False,False,False,missing features
56,C-035985,A-6da850,15-01-2024,pricing,0.0,False,False,False,too expensive
57,C-7cace4,A-484819,29-12-2023,support,0.0,False,False,False,
58,C-06a2e6,A-bbc346,31-10-2024,competitor,0.0,True,False,False,too expensive
59,C-eb9d5e,A-eb1312,28-09-2024,unknown,0.0,False,False,False,switched to competitor
60,C-a45909,A-bf7919,06-12-2024,support,0.0,False,False,False,
61,C-7f85f4,A-bece89,27-07-2024,unknown,53.61,False,False,False,switched to competitor
62,C-234aa7,A-832ec2,19-12-2023,unknown,0.0,False,False,False,too expensive
63,C-0ba0a0,A-22d9d2,17-10-2024,pricing,0.0,False,False,False,
64,C-d05e42,A-32728c,22-06-2024,support,0.0,False,False,False,
65,C-8d3540,A-37f969,12-12-2024,competitor,50.41,False,False,False,
66,C-bedd8c,A-1b9609,16-11-2024,unknown,0.0,False,False,False,
67,C-1cea52,A-310452,25-12-2024,budget,0.0,True,False,False,
68,C-1e0b1a,A-016043,11-08-2024,competitor,84.75,False,False,False,switched to competitor
69,C-c4e7a7,A-80eeb6,19-10-2023,features,0.0,False,False,False,missing features
70,C-915973,A-7e0a10,26-09-2024,budget,0.0,False,False,False,missing features
71,C-a403fc,A-6a7c9d,21-11-2024,support,0.0,False,False,False,too expensive
72,C-025044,A-098560,04-09-2024,pricing,0.0,False,False,False,too expensive
73,C-a54597,A-9f9299,24-03-2024,features,0.0,False,False,False,missing features
74,C-7ab794,A-ef84cf,20-11-2024,support,0.0,False,False,False,too expensive
75,C-7cd070,A-13466a,18-04-2024,pricing,6.51,False,True,True,switched to competitor
76,C-1727c8,A-65aeb5,27-02-2024,pricing,0.0,False,False,False,
77,C-bb9db4,A-659280,22-11-2024,pricing,27.75,False,False,False,switched to competitor
78,C-0a0bf7,A-d49cc5,12-04-2024,competitor,0.0,False,False,False,missing features
79,C-64ba8a,A-cc8c8f,12-09-2024,budget,0.0,True,False,False,missing features
80,C-fab429,A-180abf,12-09-2024,support,0.0,False,False,False,
81,C-872bcf,A-6da850,07-09-2024,budget,0.0,False,False,False,switched to competitor
82,C-480232,A-31ab9a,23-09-2024,competitor,0.0,False,False,True,too expensive
83,C-108b2a,A-e08cd3,21-09-2024,competitor,0.0,False,False,False,switched to competitor
84,C-775d4e,A-0651a4,25-12-2024,support,0.0,False,False,False,too expensive
85,C-043665,A-b2225d,27-06-2024,budget,0.0,False,False,True,
86,C-2dbe71,A-c222ab,14-06-2024,budget,4.52,False,False,False,too expensive
87,C-b60cf0,A-a6d261,10-03-2024,unknown,99.94,True,False,False,missing features
88,C-f24343,A-425e76,03-09-2023,budget,0.0,False,False,True,missing features
89,C-a1d45c,A-c222ab,10-06-2024,features,27.62,True,False,False,missing features
90,C-9d36da,A-bcf664,17-08-2024,competitor,0.0,False,False,True,
91,C-b4b58e,A-96e141,22-09-2024,budget,0.0,False,False,False,too expensive
92,C-5cd282,A-df1e44,20-11-2024,budget,0.0,False,False,False,missing features
93,C-95f56e,A-7f29a7,09-10-2024,unknown,23.97,True,False,False,switched to competitor
94,C-bd5b55,A-b07b56,24-12-2024,budget,0.0,False,False,False,switched to competitor
95,C-b8127e,A-d792a6,13-08-2024,support,0.0,False,False,False,missing features
96,C-8153b7,A-7cfe77,19-12-2024,features,0.0,False,True,False,missing features
97,C-b6b828,A-69fad4,17-06-2024,support,0.0,False,False,False,
98,C-a666a4,A-4bfa33,28-12-2024,unknown,7.26,True,False,False,switched to competitor
99,C-72d074,A-cc1d8d,17-12-2024,features,0.0,False,False,False,too expensive
100,C-ced436,A-7f4db3,21-03-2023,support,0.0,True,False,False,missing features
101,C-2cccb0,A-692f18,23-12-2024,support,0.0,True,False,False,switched to competitor
102,C-b08dda,A-7a0d69,09-07-2024,features,28.95,False,False,False,
103,C-66d447,A-fda07f,13-09-2024,support,17.34,False,False,False,missing features
104,C-860574,A-4e44e8,11-10-2024,budget,0.0,False,False,True,switched to competitor
105,C-a4f797,A-cd458b,07-11-2024,budget,0.0,False,False,False,switched to competitor
106,C-4dfeb8,A-56962b,27-07-2024,unknown,45.83,False,False,False,switched to competitor
107,C-d3449f,A-2bc93d,10-08-2023,pricing,0.0,False,False,False,missing features
108,C-1a5a14,A-104f1a,06-09-2024,support,0.0,False,False,False,too expensive
109,C-6c63bc,A-2e3bad,30-03-2024,features,0.0,False,False,False,missing features
110,C-1f5828,A-2edab2,21-12-2023,unknown,168.73,False,False,False,switched to competitor
111,C-8203f3,A-3be56b,20-06-2024,pricing,0.0,False,False,False,switched to competitor
112,C-f518d9,A-6e08f3,10-02-2024,competitor,0.0,False,False,True,
113,C-974322,A-712533,18-07-2024,unknown,0.0,True,False,False,missing features
114,C-6b610a,A-df10db,12-07-2024,competitor,0.0,False,False,False,missing features
115,C-61ced5,A-acb7f7,21-03-2024,competitor,0.0,True,False,False,missing features
116,C-bb8317,A-533452,19-11-2024,features,0.0,False,False,False,
117,C-576ecc,A-993085,21-01-2024,features,0.0,False,False,False,
118,C-2608a3,A-bf7919,17-12-2024,features,0.0,False,True,False,too expensive
119,C-30462f,A-bb1486,21-11-2024,budget,0.0,False,False,False,switched to competitor
120,C-bc6f48,A-eafc6e,31-07-2023,pricing,0.0,False,False,False,
121,C-8052a7,A-faa28c,20-08-2024,features,0.0,False,False,False,
122,C-3b399f,A-7dacce,08-12-2024,features,0.0,True,False,False,
123,C-a761a8,A-50bb9f,12-09-2024,unknown,0.0,False,True,True,too expensive
124,C-192e1d,A-716841,13-11-2024,unknown,0.0,False,False,False,too expensive
125,C-494a16,A-5a184f,11-09-2024,support,0.0,False,False,False,switched to competitor
126,C-3db212,A-e40f45,09-11-2024,budget,101.23,False,False,False,missing features
127,C-47cdaa,A-9affe6,12-01-2024,features,83.06,False,False,False,missing features
128,C-ac853d,A-0354fe,26-11-2024,support,0.0,False,True,False,switched to competitor
129,C-a24d30,A-f1f639,07-04-2024,budget,0.0,False,False,False,
130,C-23a031,A-5247b3,16-10-2024,pricing,0.0,False,False,False,
131,C-178070,A-337bc1,21-10-2023,support,0.0,False,False,False,too expensive
132,C-70de89,A-039727,22-12-2024,pricing,46.49,False,False,False,switched to competitor
133,C-49de12,A-5c9849,13-11-2024,unknown,0.0,False,True,False,too expensive
134,C-97ab4b,A-82d8a6,29-12-2024,features,0.0,False,False,False,switched to competitor
135,C-23df1e,A-18793f,30-12-2024,support,25.41,True,False,False,
136,C-1b0bb3,A-81edc3,21-09-2024,pricing,10.91,False,False,False,too expensive
137,C-48c0c8,A-53f4e3,06-12-2024,competitor,0.0,False,True,True,too expensive
138,C-eaa652,A-1619f8,03-06-2024,competitor,0.0,True,False,False,missing features
139,C-75e17f,A-ed510f,05-05-2023,budget,0.0,False,False,False,too expensive
140,C-3dbe46,A-76fa4d,26-11-2024,unknown,1.55,False,False,False,too expensive
141,C-4d517f,A-13466a,18-11-2023,support,0.0,False,False,False,switched to competitor
142,C-50dbff,A-31ab9a,09-08-2024,budget,0.0,False,False,False,switched to competitor
143,C-2d03fc,A-e43bf7,24-06-2023,pricing,0.0,False,False,False,missing features
144,C-8bf15d,A-20736a,19-03-2024,competitor,64.98,False,False,False,too expensive
