,subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
0,S-8cec59,A-3c1a3f,23-12-2023,12-04-2024,Enterprise,14,2786.0,33432.0,False,False,False,True,monthly,True
1,S-0f6f44,A-9b9fe9,11-06-2024,Ongoing,Pro,17,833.0,9996.0,False,False,False,False,monthly,True
2,S-51c0d1,A-659280,25-11-2024,Ongoing,Enterprise,62,0.0,0.0,True,True,False,False,annual,False
3,S-f81687,A-e7a1e2,23-11-2024,13-12-2024,Enterprise,5,995.0,11940.0,False,False,False,True,monthly,True
4,S-cff5a2,A-ba6516,10-01-2024,Ongoing,Enterprise,27,5373.0,64476.0,False,False,False,False,monthly,True
5,S-4b9b13,A-fa2041,13-08-2024,Ongoing,Pro,15,735.0,8820.0,False,False,False,False,monthly,True
6,S-dceac6,A-417d2f,30-12-2023,Ongoing,Enterprise,4,796.0,9552.0,False,False,False,False,annual,True
7,S-8cad7b,A-5f2961,23-12-2024,Ongoing,Basic,16,304.0,3648.0,False,False,False,False,annual,True
8,S-24796e,A-cc8c8f,27-11-2024,Ongoing,Enterprise,23,4577.0,54924.0,False,False,False,False,annual,False
9,S-d0c344,A-80eeb6,27-10-2024,Ongoing,Pro,22,1078.0,12936.0,False,False,False,False,annual,False
10,S-477506,A-f03140,06-02-2024,Ongoing,Pro,27,1323.0,15876.0,False,False,False,False,annual,True
11,S-79a9e1,A-3a5ad8,25-12-2024,Ongoing,Enterprise,22,0.0,0.0,True,False,False,False,annual,True
12,S-59dc4b,A-f17767,17-09-2023,Ongoing,Pro,26,1274.0,15288.0,False,True,True,False,monthly,True
13,S-7acd8b,A-7920cc,17-07-2024,Ongoing,Basic,39,741.0,8892.0,False,False,False,False,annual,True
14,S-428e9a,A-8ae3fc,12-10-2024,Ongoing,Enterprise,88,0.0,0.0,True,False,False,False,monthly,True
15,S-486088,A-0cc442,18-09-2024,Ongoing,Pro,45,2205.0,26460.0,False,False,False,False,monthly,True
16,S-13939b,A-86902e,21-07-2023,03-08-2024,Pro,34,0.0,0.0,True,False,False,True,monthly,True
17,S-9333c5,A-ef84cf,06-06-2024,13-08-2024,Basic,8,152.0,1824.0,False,False,False,True,annual,False
18,S-37e3ad,A-b30291,25-04-2024,Ongoing,Basic,5,95.0,1140.0,False,False,False,False,monthly,True
19,S-b17d04,A-e19ff6,06-03-2024,Ongoing,Pro,8,392.0,4704.0,False,False,False,False,monthly,True
20,S-c27134,A-dec005,31-03-2024,Ongoing,Pro,21,0.0,0.0,True,False,False,False,monthly,True
21,S-3bd427,A-2e3bad,04-12-2024,27-12-2024,Basic,61,1159.0,13908.0,False,False,False,True,monthly,True
22,S-82989b,A-f5641b,30-11-2024,Ongoing,Basic,31,589.0,7068.0,False,False,False,False,monthly,True
23,S-082b15,A-aa9511,09-02-2024,Ongoing,Enterprise,97,19303.0,231636.0,False,False,False,False,annual,True
24,S-434140,A-075038,25-02-2024,Ongoing,Pro,17,833.0,9996.0,False,False,False,False,annual,True
25,S-c07ede,A-cea1f0,07-10-2024,Ongoing,Pro,8,392.0,4704.0,False,False,False,False,annual,False
26,S-287914,A-a1b80b,15-08-2024,Ongoing,Pro,16,784.0,9408.0,False,False,False,False,annual,True
27,S-b3bd43,A-b2225d,03-11-2024,Ongoing,Pro,50,2450.0,29400.0,False,False,False,False,monthly,False
28,S-4c82da,A-b9eed8,01-08-2024,Ongoing,Pro,11,539.0,6468.0,False,False,False,False,monthly,False
29,S-c75159,A-bcf87c,22-08-2024,28-09-2024,Enterprise,31,6169.0,74028.0,False,False,False,True,monthly,True
30,S-b5643b,A-9f9299,11-06-2024,Ongoing,Enterprise,28,5572.0,66864.0,False,False,False,False,annual,False
31,S-49a9aa,A-10b8f2,16-06-2023,Ongoing,Basic,51,969.0,11628.0,False,False,False,False,annual,True
32,S-2877e6,A-95b24a,28-06-2024,Ongoing,Enterprise,38,0.0,0.0,True,True,True,False,monthly,True
33,S-8c10c1,A-0651a4,25-12-2024,Ongoing,Enterprise,65,12935.0,155220.0,False,False,False,False,annual,True
34,S-d7d398,A-fb186e,28-12-2024,Ongoing,Enterprise,29,0.0,0.0,True,False,False,False,annual,True
35,S-ddad91,A-40906c,21-06-2024,Ongoing,Enterprise,92,0.0,0.0,True,False,False,False,annual,False
36,S-6762fa,A-40a557,12-02-2024,Ongoing,Enterprise,16,3184.0,38208.0,False,False,False,False,annual,True
37,S-bb1cf1,A-3a5ad8,07-09-2024,Ongoing,Enterprise,9,0.0,0.0,True,True,False,False,monthly,False
38,S-a805a5,A-2789e3,18-09-2024,Ongoing,Basic,33,627.0,7524.0,False,False,False,False,monthly,True
39,S-da0a69,A-49b828,11-05-2023,Ongoing,Pro,6,294.0,3528.0,False,False,False,False,monthly,True
40,S-59c5d7,A-c16b88,19-10-2024,Ongoing,Basic,35,665.0,7980.0,False,True,False,False,monthly,True
41,S-d3faae,A-5c9849,12-11-2024,Ongoing,Basic,19,361.0,4332.0,False,False,False,False,monthly,True
42,S-73a4e4,A-993085,09-09-2024,Ongoing,Pro,31,1519.0,18228.0,False,False,False,False,monthly,True
43,S-35c8a3,A-e4144b,22-12-2024,Ongoing,Enterprise,41,8159.0,97908.0,False,False,False,False,annual,True
44,S-99fbf7,A-7dacce,10-09-2024,Ongoing,Enterprise,12,2388.0,28656.0,False,False,False,False,annual,True
45,S-e97b9f,A-a0ca4e,16-03-2024,Ongoing,Enterprise,12,2388.0,28656.0,False,False,False,False,annual,True
46,S-763d33,A-ef84cf,25-07-2024,Ongoing,Basic,23,437.0,5244.0,False,False,True,False,annual,False
47,S-323782,A-7920cc,22-02-2024,Ongoing,Basic,39,741.0,8892.0,False,False,False,False,monthly,True
48,S-1cff18,A-2789e3,03-10-2024,Ongoing,Basic,11,209.0,2508.0,False,False,False,False,monthly,True
49,S-ad39ef,A-e40f45,25-08-2024,Ongoing,Pro,21,0.0,0.0,True,True,False,False,annual,True
50,S-bf806d,A-7c5768,21-09-2024,Ongoing,Basic,62,1178.0,14136.0,False,False,False,False,annual,True
51,S-36f6ec,A-ccb686,16-08-2024,Ongoing,Pro,21,1029.0,12348.0,False,True,False,False,monthly,True
52,S-aff55c,A-bb2f49,14-01-2024,29-12-2024,Pro,8,0.0,0.0,True,False,False,True,monthly,True
53,S-b9fc6c,A-2ebb4b,16-06-2023,Ongoing,Basic,41,779.0,9348.0,False,False,False,False,annual,True
54,S-7f8cd8,A-53f4e3,18-09-2024,17-11-2024,Enterprise,20,3980.0,47760.0,False,False,False,True,monthly,True
55,S-e912e6,A-a8d89d,12-12-2023,Ongoing,Enterprise,78,15522.0,186264.0,False,False,False,False,monthly,True
56,S-fef85a,A-7f8241,06-08-2024,Ongoing,Pro,34,1666.0,19992.0,False,False,False,False,annual,True
57,S-36d5c9,A-54ecc2,16-09-2023,Ongoing,Enterprise,11,2189.0,26268.0,False,False,False,False,monthly,True
58,S-b9ff15,A-95b24a,08-01-2024,Ongoing,Enterprise,43,8557.0,102684.0,False,False,False,False,annual,False
59,S-10bd09,A-bbc346,03-09-2024,Ongoing,Basic,50,950.0,11400.0,False,False,False,False,annual,True
60,S-12bfc8,A-31ab9a,06-12-2024,Ongoing,Enterprise,29,5771.0,69252.0,False,False,False,False,monthly,False
61,S-f5c472,A-faa28c,09-07-2024,Ongoing,Basic,48,912.0,10944.0,False,False,False,False,monthly,True
62,S-dbc1ca,A-8adedc,24-04-2024,Ongoing,Enterprise,14,2786.0,33432.0,False,False,False,False,annual,True
63,S-dc6dfd,A-e08cd3,30-09-2024,Ongoing,Pro,67,3283.0,39396.0,False,False,False,False,monthly,True
64,S-b2d472,A-bcf87c,27-08-2024,11-12-2024,Enterprise,10,1990.0,23880.0,False,False,False,True,annual,False
65,S-9dfce0,A-e6afc1,30-08-2024,Ongoing,Pro,2,98.0,1176.0,False,False,False,False,annual,True
66,S-9cb6a7,A-7f29a7,21-12-2024,Ongoing,Basic,41,779.0,9348.0,False,False,False,False,monthly,True
67,S-dabcd2,A-3ce5b8,22-09-2024,Ongoing,Pro,28,0.0,0.0,True,False,False,False,monthly,True
68,S-8c3cc8,A-b2225d,17-10-2024,Ongoing,Basic,47,0.0,0.0,True,False,False,False,monthly,True
69,S-2923fc,A-fa3095,08-07-2024,Ongoing,Enterprise,70,13930.0,167160.0,False,False,False,False,annual,True
70,S-f0a2e5,A-55f257,05-06-2024,Ongoing,Basic,23,0.0,0.0,True,False,False,False,annual,True
71,S-025bea,A-9affe6,25-06-2024,Ongoing,Pro,17,833.0,9996.0,False,True,False,False,monthly,True
72,S-0e499f,A-296d7c,17-08-2024,Ongoing,Pro,16,784.0,9408.0,False,False,False,False,annual,False
73,S-0267b7,A-65a46c,17-10-2024,04-12-2024,Enterprise,13,0.0,0.0,True,False,False,True,monthly,True
74,S-b5b9a5,A-812c5b,25-07-2024,Ongoing,Basic,55,1045.0,12540.0,False,False,False,False,monthly,True
75,S-8e45ba,A-7f8241,13-12-2023,Ongoing,Basic,34,646.0,7752.0,False,False,False,False,annual,False
76,S-37ed34,A-d4ac0e,07-07-2024,Ongoing,Enterprise,20,3980.0,47760.0,False,False,False,False,annual,True
77,S-65dbf3,A-17939a,28-12-2024,Ongoing,Basic,36,684.0,8208.0,False,False,False,False,monthly,True
78,S-ce5450,A-0a282f,25-12-2024,28-12-2024,Pro,8,0.0,0.0,True,False,False,True,annual,True
79,S-6c969d,A-855a48,08-05-2024,Ongoing,Basic,14,266.0,3192.0,False,False,False,False,monthly,False
80,S-522aef,A-f3ff05,22-08-2024,Ongoing,Pro,4,196.0,2352.0,False,False,False,False,annual,True
81,S-82db05,A-417d2f,09-12-2024,Ongoing,Pro,26,1274.0,15288.0,False,False,False,False,monthly,True
82,S-162596,A-462d45,29-02-2024,Ongoing,Pro,18,0.0,0.0,True,False,False,False,monthly,True
83,S-f703bd,A-202b67,04-09-2024,Ongoing,Pro,11,539.0,6468.0,False,False,False,False,monthly,True
84,S-a1d6ad,A-eafc6e,01-09-2024,Ongoing,Pro,27,1323.0,15876.0,False,False,False,False,monthly,True
85,S-8b1fc1,A-309e54,26-12-2024,Ongoing,Basic,15,0.0,0.0,True,False,False,False,monthly,True
86,S-09cdac,A-82861f,31-07-2024,04-09-2024,Basic,41,779.0,9348.0,False,False,False,True,annual,True
87,S-fa5301,A-ba6516,14-03-2024,Ongoing,Pro,55,0.0,0.0,True,False,False,False,monthly,False
88,S-69937b,A-08e34e,08-08-2024,Ongoing,Pro,14,686.0,8232.0,False,False,False,False,annual,False
89,S-f2537d,A-e43bf7,24-01-2024,Ongoing,Pro,44,2156.0,25872.0,False,False,False,False,monthly,True
90,S-27f7b2,A-a1b80b,03-04-2024,Ongoing,Basic,38,722.0,8664.0,False,False,False,False,annual,True
91,S-9c2b8e,A-443f6f,26-12-2024,Ongoing,Basic,19,361.0,4332.0,False,True,False,False,annual,True
92,S-a4f26d,A-32728c,21-05-2023,Ongoing,Pro,20,980.0,11760.0,False,False,False,False,monthly,True
93,S-0cb6ed,A-ac85cd,09-11-2024,18-12-2024,Pro,53,2597.0,31164.0,False,False,False,True,annual,True
94,S-367dee,A-e19ff6,29-06-2024,Ongoing,Pro,1,49.0,588.0,False,False,False,False,annual,True
95,S-3b9ad8,A-6e08f3,24-12-2024,Ongoing,Enterprise,28,5572.0,66864.0,False,False,False,False,monthly,False
96,S-c9f8c1,A-544d0a,23-07-2024,Ongoing,Enterprise,5,995.0,11940.0,False,False,True,False,monthly,True
97,S-57cd05,A-8b0451,26-10-2024,Ongoing,Basic,41,779.0,9348.0,False,False,False,False,annual,True
98,S-e505c1,A-8ae3fc,17-09-2024,Ongoing,Pro,34,1666.0,19992.0,False,False,False,False,annual,True
99,S-121b4d,A-8ae3fc,22-11-2024,Ongoing,Basic,9,171.0,2052.0,False,False,False,False,annual,True
100,S-72b4f2,A-4437e4,06-02-2024,Ongoing,Pro,49,2401.0,28812.0,False,False,False,False,annual,True
101,S-c9b0cc,A-4d1e75,11-10-2024,Ongoing,Enterprise,38,7562.0,90744.0,False,False,False,False,monthly,True
102,S-27c993,A-098560,17-11-2024,Ongoing,Enterprise,4,796.0,9552.0,False,False,False,False,monthly,True
103,S-8b9889,A-ac9111,18-08-2024,Ongoing,Pro,21,1029.0,12348.0,False,False,False,False,monthly,True
104,S-2214c6,A-3c1a3f,07-10-2024,Ongoing,Pro,82,4018.0,48216.0,False,False,False,False,monthly,True
105,S-ce695e,A-cb6cc6,25-05-2024,Ongoing,Enterprise,13,0.0,0.0,True,False,False,False,annual,False
106,S-066d80,A-9b9fe9,17-08-2024,Ongoing,Pro,5,245.0,2940.0,False,False,False,False,monthly,True
107,S-228457,A-029f69,24-05-2024,Ongoing,Enterprise,24,4776.0,57312.0,False,False,False,False,annual,True
108,S-e50612,A-c7e58b,15-07-2024,Ongoing,Basic,13,247.0,2964.0,False,False,False,False,annual,False
109,S-64fba3,A-00bed1,16-07-2024,Ongoing,Enterprise,28,5572.0,66864.0,False,False,False,False,annual,True
110,S-2372d2,A-cea1f0,22-12-2024,Ongoing,Enterprise,21,4179.0,50148.0,False,False,False,False,annual,False
111,S-2661dc,A-c37cab,07-08-2024,Ongoing,Pro,20,0.0,0.0,True,False,False,False,monthly,True
112,S-427275,A-4c38bc,14-07-2024,Ongoing,Enterprise,36,7164.0,85968.0,False,False,False,False,annual,True
113,S-628729,A-157070,05-10-2024,Ongoing,Enterprise,23,4577.0,54924.0,False,False,True,False,monthly,True
114,S-e260ff,A-bcf87c,09-12-2024,Ongoing,Enterprise,21,4179.0,50148.0,False,False,False,False,annual,True
115,S-89c03a,A-8ae3fc,20-09-2024,Ongoing,Pro,9,441.0,5292.0,False,False,False,False,monthly,True
116,S-86455a,A-1b9609,01-12-2023,Ongoing,Pro,12,588.0,7056.0,False,False,False,False,monthly,True
117,S-3660bb,A-474ad4,14-12-2024,Ongoing,Enterprise,10,0.0,0.0,True,False,False,False,monthly,False
118,S-6bf7d7,A-9bfc9f,23-03-2024,Ongoing,Pro,53,2597.0,31164.0,False,False,True,False,annual,False
119,S-feccd8,A-812c5b,22-12-2024,Ongoing,Enterprise,55,10945.0,131340.0,False,False,False,False,monthly,True
120,S-0e4b0c,A-39b19f,28-02-2023,15-06-2023,Pro,24,1176.0,14112.0,False,False,True,True,annual,True
121,S-0e0578,A-de58ca,09-07-2023,Ongoing,Basic,15,285.0,3420.0,False,False,False,False,monthly,True
122,S-74538d,A-e60f9d,13-11-2024,Ongoing,Pro,46,2254.0,27048.0,False,False,False,False,annual,True
