,ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
0,T-0024de,A-712f1c,27-07-2023,28-07-2023 03:00,27,high,74,-1.0,False
1,T-4d04b9,A-e43bf7,08-07-2024,09-07-2024 03:00,27,urgent,144,-1.0,False
2,T-d5e12f,A-0f3e88,17-10-2024,17-10-2024 19:00,19,urgent,93,4.0,False
3,T-dfce9a,A-4c56c9,08-09-2024,09-09-2024 23:00,47,medium,126,5.0,False
4,T-c59f77,A-6f8ad2,30-11-2024,01-12-2024 02:00,26,medium,8,-1.0,False
5,T-90f06d,A-94c3cd,27-07-2023,27-07-2023 09:00,9,medium,60,-1.0,False
6,T-30b537,A-2e4581,09-09-2023,10-09-2023 03:00,27,urgent,64,3.0,False
7,T-60242d,A-72799b,29-01-2024,29-01-2024 12:00,12,low,56,4.0,True
8,T-7119c9,A-b179bf,27-08-2023,27-08-2023 16:00,16,urgent,154,-1.0,False
9,T-b0edf2,A-7cfe77,06-05-2024,07-05-2024 04:00,28,medium,150,3.0,False
10,T-98a84a,A-157070,20-12-2023,21-12-2023 18:00,42,low,26,-1.0,False
11,T-04457d,A-854864,18-07-2024,20-07-2024 00:00,48,medium,140,5.0,False
12,T-6bd715,A-4e0e85,14-05-2024,16-05-2024 02:00,50,medium,129,-1.0,False
13,T-13f1b8,A-5b4ebb,05-12-2023,06-12-2023 02:00,26,low,121,5.0,False
14,T-a3288b,A-098560,28-12-2024,30-12-2024 07:00,55,low,26,3.0,False
15,T-f8e2c3,A-40a557,01-03-2024,03-03-2024 21:00,69,high,60,-1.0,False
16,T-4e7816,A-05f0e5,03-10-2024,04-10-2024 12:00,36,low,108,-1.0,False
17,T-0dea8b,A-671f31,24-01-2024,26-01-2024 12:00,60,medium,45,3.0,False
18,T-ca96ba,A-410e86,28-04-2024,28-04-2024 03:00,3,high,64,-1.0,False
19,T-ac0b69,A-ac9111,02-03-2024,02-03-2024 14:00,14,low,86,-1.0,False
20,T-0f1c67,A-78f02b,09-10-2024,11-10-2024 00:00,48,low,51,4.0,False
21,T-4fb3f2,A-c62e55,05-03-2023,07-03-2023 11:00,59,medium,136,3.0,False
22,T-2b4423,A-158f4e,07-12-2023,07-12-2023 11:00,11,high,99,-1.0,False
23,T-b17401,A-50bb9f,21-02-2024,21-02-2024 12:00,12,high,171,3.0,False
24,T-462ece,A-b9f5b1,17-07-2023,19-07-2023 03:00,51,low,50,3.0,True
25,T-066714,A-b2225d,11-04-2024,12-04-2024 00:00,24,high,52,3.0,False
26,T-8c694d,A-883b7d,24-05-2024,24-05-2024 15:00,15,low,39,3.0,True
27,T-804c6c,A-751bd4,29-10-2024,30-10-2024 04:00,28,medium,49,4.0,False
28,T-64b0b8,A-533452,27-09-2023,29-09-2023 08:00,56,low,16,5.0,False
29,T-bfa749,A-684255,04-08-2023,04-08-2023 01:00,1,low,137,5.0,False
30,T-3b24c1,A-0aaf6e,09-06-2024,11-06-2024 06:00,54,high,151,3.0,False
